image,label
qrcodes/spam/spam_0.png,spam
qrcodes/ham/ham_0.png,ham
qrcodes/spam/spam_1.png,spam
qrcodes/ham/ham_1.png,ham
qrcodes/spam/spam_2.png,spam
qrcodes/ham/ham_2.png,ham
qrcodes/spam/spam_3.png,spam
qrcodes/ham/ham_3.png,ham
qrcodes/spam/spam_4.png,spam
qrcodes/ham/ham_4.png,ham
qrcodes/spam/spam_5.png,spam
qrcodes/ham/ham_5.png,ham
qrcodes/spam/spam_6.png,spam
qrcodes/ham/ham_6.png,ham
qrcodes/spam/spam_7.png,spam
qrcodes/ham/ham_7.png,ham
qrcodes/spam/spam_8.png,spam
qrcodes/ham/ham_8.png,ham
qrcodes/spam/spam_9.png,spam
qrcodes/ham/ham_9.png,ham
qrcodes/spam/spam_10.png,spam
qrcodes/ham/ham_10.png,ham
qrcodes/spam/spam_11.png,spam
qrcodes/ham/ham_11.png,ham
qrcodes/spam/spam_12.png,spam
qrcodes/ham/ham_12.png,ham
qrcodes/spam/spam_13.png,spam
qrcodes/ham/ham_13.png,ham
qrcodes/spam/spam_14.png,spam
qrcodes/ham/ham_14.png,ham
qrcodes/spam/spam_15.png,spam
qrcodes/ham/ham_15.png,ham
qrcodes/spam/spam_16.png,spam
qrcodes/ham/ham_16.png,ham
qrcodes/spam/spam_17.png,spam
qrcodes/ham/ham_17.png,ham
qrcodes/spam/spam_18.png,spam
qrcodes/ham/ham_18.png,ham
qrcodes/spam/spam_19.png,spam
qrcodes/ham/ham_19.png,ham
qrcodes/spam/spam_20.png,spam
qrcodes/ham/ham_20.png,ham
qrcodes/spam/spam_21.png,spam
qrcodes/ham/ham_21.png,ham
qrcodes/spam/spam_22.png,spam
qrcodes/ham/ham_22.png,ham
qrcodes/spam/spam_23.png,spam
qrcodes/ham/ham_23.png,ham
qrcodes/spam/spam_24.png,spam
qrcodes/ham/ham_24.png,ham
qrcodes/spam/spam_25.png,spam
qrcodes/ham/ham_25.png,ham
qrcodes/spam/spam_26.png,spam
qrcodes/ham/ham_26.png,ham
qrcodes/spam/spam_27.png,spam
qrcodes/ham/ham_27.png,ham
qrcodes/spam/spam_28.png,spam
qrcodes/ham/ham_28.png,ham
qrcodes/spam/spam_29.png,spam
qrcodes/ham/ham_29.png,ham
qrcodes/spam/spam_30.png,spam
qrcodes/ham/ham_30.png,ham
qrcodes/spam/spam_31.png,spam
qrcodes/ham/ham_31.png,ham
qrcodes/spam/spam_32.png,spam
qrcodes/ham/ham_32.png,ham
qrcodes/spam/spam_33.png,spam
qrcodes/ham/ham_33.png,ham
qrcodes/spam/spam_34.png,spam
qrcodes/ham/ham_34.png,ham
qrcodes/spam/spam_35.png,spam
qrcodes/ham/ham_35.png,ham
qrcodes/spam/spam_36.png,spam
qrcodes/ham/ham_36.png,ham
qrcodes/spam/spam_37.png,spam
qrcodes/ham/ham_37.png,ham
qrcodes/spam/spam_38.png,spam
qrcodes/ham/ham_38.png,ham
qrcodes/spam/spam_39.png,spam
qrcodes/ham/ham_39.png,ham
qrcodes/spam/spam_40.png,spam
qrcodes/ham/ham_40.png,ham
qrcodes/spam/spam_41.png,spam
qrcodes/ham/ham_41.png,ham
qrcodes/spam/spam_42.png,spam
qrcodes/ham/ham_42.png,ham
qrcodes/spam/spam_43.png,spam
qrcodes/ham/ham_43.png,ham
qrcodes/spam/spam_44.png,spam
qrcodes/ham/ham_44.png,ham
qrcodes/spam/spam_45.png,spam
qrcodes/ham/ham_45.png,ham
qrcodes/spam/spam_46.png,spam
qrcodes/ham/ham_46.png,ham
qrcodes/spam/spam_47.png,spam
qrcodes/ham/ham_47.png,ham
qrcodes/spam/spam_48.png,spam
qrcodes/ham/ham_48.png,ham
qrcodes/spam/spam_49.png,spam
qrcodes/ham/ham_49.png,ham
qrcodes/spam/spam_50.png,spam
qrcodes/ham/ham_50.png,ham
qrcodes/spam/spam_51.png,spam
qrcodes/ham/ham_51.png,ham
qrcodes/spam/spam_52.png,spam
qrcodes/ham/ham_52.png,ham
qrcodes/spam/spam_53.png,spam
qrcodes/ham/ham_53.png,ham
qrcodes/spam/spam_54.png,spam
qrcodes/ham/ham_54.png,ham
qrcodes/spam/spam_55.png,spam
qrcodes/ham/ham_55.png,ham
qrcodes/spam/spam_56.png,spam
qrcodes/ham/ham_56.png,ham
qrcodes/spam/spam_57.png,spam
qrcodes/ham/ham_57.png,ham
qrcodes/spam/spam_58.png,spam
qrcodes/ham/ham_58.png,ham
